id,name,formula,unit,description,levels
26,Temperatuuride erinevus 8 m ja 22 m vahel,T<sub>DIFF22</sub>,deg.C,Temperatuuride erinevus 8 m ja 22 m vahel iseloomustab vertikaalset õhu liikumist. Negatiivse temperatuuride erinevuse korral (T<sub>22m</sub> – T<sub>8m</sub>) on kõrgemal jahedam õhk ja vertikaalne segunemine ei ole takistatud. Positiivse temperatuuride erinevuse puhul on kõrgemal õhk soojem kui maapinna lähedal ja õhu vertikaalne segunemine on pärsitud.,
27,Päikesekiirgus,RAD,W/m2,Päikesekiirgus on päikeselt lähtuv elektromagnetlainete ja aineosakeste voog. Päikesekiirgust mõõdetakse pidevalt ja ühikuks on W/m<sup>2</sup>.,
28,Õhurõhk,PRESS,hPa,"Õhurõhku mõõdetakse baromeetriga ja seda väljendatakse hektopaskalites (hPa). Õhurõhk on rõhk, mille põhjustab pinnaühiku kohal kuni atmosfääri ülemise piirini ulatuva õhusamba kaal.",
29,Õhurõhk,PRESS,hPa,"Õhurõhku mõõdetakse baromeetriga ja seda väljendatakse hektopaskalites (hPa). Õhurõhk on rõhk, mille põhjustab pinnaühiku kohal kuni atmosfääri ülemise piirini ulatuva õhusamba kaal.",
30,Sademed,RAIN,mm/day,Sademed on atmosfäärist langev või sadestuv vedel või tahke vesi. Sademeid mõõdetakse pidevalt ja ühikuna kasutatakse millimeetrit tunni kohta.,
31,Suhteline õhuniiskus,HUM,%,"Suhteline õhuniiskus on veeauru osarõhu ja samadel füüsikalistel tingimustel küllastunud veeauru osarõhu suhe. Suhtelist õhuniiskust väljendatakse protsentides. Mida kõrgem on veeauru temperatuur, seda rohkem mahub veeauru ühikulisse ruumalasse. Temperatuuri langemisel, näiteks õhtul, hakkab suhteline õhuniiskus seega suurenema.",
32,Suhteline õhuniiskus,HUM,%,"Suhteline õhuniiskus on veeauru osarõhu ja samadel füüsikalistel tingimustel küllastunud veeauru osarõhu suhe. Suhtelist õhuniiskust väljendatakse protsentides. Mida kõrgem on veeauru temperatuur, seda rohkem mahub veeauru ühikulisse ruumalasse. Temperatuuri langemisel, näiteks õhtul, hakkab suhteline õhuniiskus seega suurenema.",
33,Temperatuur,TEMP,deg.C,Õhutemperatuuri mõõdetakse pidevalt varjus oleva ja 2 m kõrgusel paikneva termomeetri abil. Õhutemperatuuri mõõdetakse Celsiuse kraadides.,
34,Temperatuur,TEMP,deg.C,Õhutemperatuuri mõõdetakse pidevalt varjus oleva ja 2 m kõrgusel paikneva termomeetri abil. Õhutemperatuuri mõõdetakse Celsiuse kraadides.,
37,Tuule suund 10 m kõrgusel,WD<sub>10</sub>,Deg °,"Tuule suund näitab seda horisondi punkti, millest tuul masti suunas puhub. Tuule suunda mõõdetakse kraadides (põhi 0 kraadi, lõuna 180 kraadi).",
38,Tuule suund 24 m kõrgusel,WD<sub>24</sub>,Deg °,"Tuule suund näitab seda horisondi punkti, millest tuul masti suunas puhub. Tuule suunda mõõdetakse kraadides (põhi 0 kraadi, lõuna 180 kraadi).",
41,Tuule kiirus 10 m kõrgusel,WS<sub>10</sub>,m/s,Tuule kiirust mõõdetakse ultrahelianemomeetriga 10 m kõrgusel. Tuule tugevuse mõõtühikuks on meetrit sekundis (m/s),
42,Tuule kiirus 24 m kõrgusel,WS<sub>24</sub>,m/s,Tuule kiirust mõõdetakse ultrahelianemomeetriga 24 m kõrgusel. Tuule tugevuse mõõtühikuks on meetrit sekundis (m/s),
64,Tuule suund 30 m kõrgusel,WD<sub>30</s,Deg °,"Tuule suund näitab seda horisondi punkti, millest tuul masti suunas puhub. Tuule suunda mõõdetakse kraadides (põhi 0 kraadi, lõuna 180 kraadi).",
65,Tuule kiirus 30 m kõrgusel,WS<sub>30</s,m/s,Tuule kiirust mõõdetakse ultrahelianemomeetriga 10 m kõrgusel. Tuule tugevuse mõõtühikuks on meetrit sekundis (m/s),
66,Temperatuur 10 m kõrgusel,TEMP<sub>10<,deg.C,Õhutemperatuuri mõõdetakse pidevalt varjus oleva ja 10 m kõrgusel paikneva termomeetri abil. Õhutemperatuuri mõõdetakse Celsiuse kraadides.,
67,Temperatuur 30 m kõrgusel,TEMP<sub>30<,deg.C,Õhutemperatuuri mõõdetakse pidevalt varjus oleva ja 30 m kõrgusel paikneva termomeetri abil. Õhutemperatuuri mõõdetakse Celsiuse kraadides.,
68,Süsinikdioksiid,dry CO2,ppm,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 800}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 700}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 600}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 500}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 400}]"
69,Süsinikdioksiid,wet CO2,ppm,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 800}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 700}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 600}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 500}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 400}]"
70,Süsinikdioksiid,CO2,ppm,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 800}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 700}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 600}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 500}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 400}]"
71,Metaan,CH4,ppm,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 4}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 3.5}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 3}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 2.5}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 2}]"
72,Dilämmastikoksiid,N2O,ppm,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 1}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 0.8}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 0.6}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 0.4}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0.2}]"
73,Vääveldioksiid,SO<sub>2</sub>,µg/m3,Vääveldioksiid eraldub välisõhku valdavalt väävlit sisaldavate kütuste põletamisel. Atmosfääris toimuvate keemiliste reaktsioonide tulemusena muutub väävelhappeks ja sadeneb keskkonda hapestava parameetrina. Pikaajalisel kokkupuutel vääveldioksiidi kõrge kontsentratsiooniga võivad tekkida kopsukahjustused. Kõrge vääveldioksiidi kontsentratsioon sissehingatavas õhus põhjustab bronhide ahenemist ja suurendab lima eritumist. Pikaajaline kokkupuude kahandab kopsufunktsiooni ja kahjustab hingamisteid (sarnane mõju kui kroonilise bronhiidi puhul).,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 1500}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 1000}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 750}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 500}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
74,Lämmastikdioksiid,NO<sub>2</sub>,µg/m3,"Välisõhku satub lämmastikdioksiid põlemisprotsessides kõrgel temperatuuril õhulämmastiku ja hapniku vahelise reaktsiooni tulemusena. Linnakeskkonnas olev lämmastikdioksiid pärineb valdavalt liiklusest, eriti diiselmootoritega autodest. Silmade, nina ja kurgu ärritaja. Võib põhjustada nõrgenenud kopsutalitlust ja suurendada hingamisteede infektsioonide ohtu lastel ja noorukitel. Väga kõrged lämmastikdioksiidi tasemed võivad põhjustada kopsuturset ja hajutatud kopsukahjustusi (diffuse lung injury). Jätkuv kokkupuude kõrgete lämmastikdioksiidi tasemetega põhjustab akuutse või kroonilise bronhiidi teket. Pikaajaline kokkupuude lämmastikdioksiidi madalate kontsentratsioonidega võib põhjustada astmaatikutel bronhide reaktiivsuse suurenemist, kroonilise kopsuobstruktsiooniga inimestel vähenenud kopsutalitlust ja suurendab hingamisteede nakkushaiguste riski, eriti lastel.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 9000}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 5000}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 3000}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 1500}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
75,Süsinikoksiid,CO,mg/m3,Süsinikoksiid ehk vingugaas tekib süsinikku sisaldavate kütuste mittetäielikul põlemisel. Linnakeskkonnas pärineb süsinikoksiid peamiselt liiklusest ja ahiküttest. Süsinikoksiidil on tugev mõju inimese ja loomade tervisele. Sissehingamisel seotakse süsinikoksiid vere hemoglobiiniga (moodustub karboksühemoglobiin) hapniku asemel. See vähendab punaste vereliblede võimet transportida hapnikku kudedesse ja eriti südamelihasele ja ajusse.,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 50}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 25}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 15}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 10}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
76,Vesiniksulfiid,H<sub>2</sub>S,ug/m3,"Vesiniksulfiid on ebameeldiva lõhnaga (mädamuna lõhnaga) gaas, mis tekib bioloogilise materjali anaeroobsel käärimisel (veepuhastusjaamad, põllumajandus jne). Vesiniksulfiidi eraldub välisõhku ka mitmete naftaproduktide (eelkõige raske kütteõli) ja põlevkiviõli laadimisel ja soojendamisel. Välisõhus esinevad tasemed on enamasti madalamad ebasoodsat tervisemõju põhjustavatest tasemetest kuid tingituna ebameeldivast lõhnast mõjub häirivalt. Välisõhus on vesiniksulfiidi maksimaalne lubatud kontsentratsioon 8 µg/m³.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 75}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 50}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 25}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 15}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
77,Peened osakesed,PM10,µg/m3,"Tahked ja vedelad osakesed aerodünaamilise diameetriga alla 10 mikromeetri (0,00001 meetrit). Satuvad välisõhku teekattelt, põlemisprotsessidest jne. Sõltuvat tekkeprotsessist on väga erineva keemilise koostisega ja mitmesuguse mõjuga inimeste tervisele. Linnaõhus sisalduvad peened osakesed pärinevad liiklusest, teekattelt, koduahjudest ja paljudest muudest allikatest. Linnaõhus on suurusjärgus 5-10 µg/m³ peeneid osakesi pärit väljastpoolt linna asuvaid saasteallikaid. Peente osakeste lubatud ööpäevakeskmine sisaldus on 50 µg/m³ ja aastakeskmine sisaldus on 40 µg/m³.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 1000}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 500}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 250}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 100}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
78,Eriti peened osakesed,PM25,µg/m3,"Tahked ja vedelad osakesed aerodünaamilise diameetriga alla 2,5 mikromeetri (0,0000025 meetrit). Satuvad välisõhku peamiselt põlemisprotsessidest, samuti tekivad atmosfääris fotokeemilistel reaktsioonidel jne. Sõltuvat tekkeprotsessist on väga erineva keemilise koostisega ja mitmesuguse mõjuga inimeste tervisele. Linnaõhus sisalduvad eriti peened osakesed pärinevad liiklusest,  koduahjudest ja paljudest muudest allikatest.  Eriti peente osakeste lubatud aastakeskmine sisaldus on 25 µg/m³.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 300}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 150}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 75}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 50}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
79,Must süsinik,BC,ug/m3,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 12}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 7}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 3}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 1}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
81,UV-A kiirgus,UV-A,W/m2,<p>L&auml;hi UV kiirgus lainepikkusega&nbsp;380&ndash;315&nbsp;nm</p>,
82,UV-B kiirgus,UV-B,W/m2,<p>Kesk UV kiirgus lainepikkusega&nbsp;315&ndash;280&nbsp;nm</p>,
